vehicle_model,mileage,maintenance_history,reported_issues,vehicle_age,fuel_type,transmission_type,engine_size,odometer_reading,last_service_date,warranty_expiry_date,owner_type,insurance_premium,service_history,accident_history,fuel_efficiency,tire_condition,brake_condition,battery_status,need_maintenance
Motorcycle,37195,Average,2,9,Diesel,Manual,800,88378,2023-04-14,2024-09-01,Third,27995,1,0,11.45087195,New,Good,Weak,1
Van,53431,Good,3,10,Electric,Manual,2500,64185,2023-06-15,2026-02-04,Third,29115,8,3,17.00122959,Good,Good,New,1
Bus,63839,Average,1,10,Petrol,Manual,1000,127210,2023-11-17,2024-07-30,Third,20680,7,0,15.67926324,New,Good,New,0
Bus,60009,Average,4,10,Electric,Manual,2500,133665,2023-05-15,2024-10-01,First,16326,10,3,16.34421539,Good,New,New,1
Motorcycle,79634,Poor,5,9,Diesel,Automatic,1000,128308,2023-12-09,2024-11-03,Third,7036,10,3,12.51446605,Good,Good,New,1
Motorcycle,67066,Poor,4,3,Petrol,Automatic,1500,119681,2023-09-08,2025-04-24,First,28981,2,0,15.80084495,Good,New,New,1
Van,57341,Average,1,1,Diesel,Manual,2500,95703,2024-02-23,2024-05-18,Second,17690,10,3,13.41283425,New,Good,Good,1
Truck,58631,Poor,5,8,Diesel,Manual,2500,122883,2023-08-23,2024-08-06,Third,26161,8,0,11.89927125,Good,Good,Weak,1
Van,35933,Poor,5,7,Petrol,Automatic,1000,75190,2023-09-26,2025-09-02,Third,13868,1,0,17.94613409,Worn Out,Worn Out,Weak,1
Van,49770,Poor,5,4,Petrol,Manual,2000,141638,2023-10-11,2026-01-10,Second,22151,8,2,15.87249628,New,New,New,1
Motorcycle,55950,Poor,3,3,Electric,Manual,1000,135675,2024-02-22,2024-10-21,Second,10760,10,3,11.37386001,Worn Out,Worn Out,Weak,1
Car,70999,Poor,3,1,Petrol,Automatic,1500,129292,2023-05-31,2025-06-21,First,15761,3,3,16.36594836,Good,New,Weak,1
Car,75317,Poor,4,1,Electric,Manual,2000,15487,2023-09-05,2025-05-15,Second,15378,1,2,12.7761474,Good,New,Good,1
Truck,78018,Poor,5,6,Diesel,Automatic,1000,30682,2023-04-07,2025-04-01,Third,27690,9,2,13.77292618,New,Worn Out,Weak,1
Suv,36869,Poor,5,5,Petrol,Automatic,2000,62035,2024-01-05,2024-07-04,First,16065,8,0,17.35323406,New,Good,New,1
Motorcycle,51458,Poor,4,6,Diesel,Automatic,1000,97034,2023-07-16,2026-02-12,First,25903,8,1,18.95259682,Worn Out,Worn Out,Weak,1
Truck,61408,Poor,4,5,Diesel,Manual,2500,127492,2024-02-28,2025-02-06,Second,24665,7,0,13.99514701,Worn Out,Good,New,1
Truck,70448,Average,5,4,Diesel,Manual,1000,80546,2023-12-09,2024-11-07,Third,29149,5,1,11.10999527,Worn Out,Good,Weak,1
Van,59752,Poor,2,4,Petrol,Automatic,2000,75029,2023-12-04,2024-12-21,Second,8334,2,0,15.75358034,Good,New,Good,1
Car,48087,Good,5,3,Petrol,Automatic,800,101551,2023-10-11,2024-07-22,First,12698,3,2,18.15257224,Good,Good,Good,1
Van,68912,Poor,4,7,Diesel,Automatic,2500,62663,2023-05-14,2024-10-29,First,17401,8,3,15.98611791,Worn Out,Good,New,1
Van,42461,Poor,4,6,Electric,Manual,800,129207,2023-10-20,2025-09-25,Second,28891,4,1,16.87200043,Good,Worn Out,New,1
Truck,30742,Poor,3,3,Electric,Automatic,2500,84805,2023-10-09,2025-11-17,Third,12670,1,2,14.4652195,Good,New,New,1
Motorcycle,43603,Average,0,4,Diesel,Automatic,2500,135711,2023-12-29,2024-07-06,Second,15571,7,2,15.96006398,Good,New,Good,0
Van,56422,Good,3,9,Diesel,Manual,1500,13808,2023-07-13,2025-07-20,Second,5691,6,0,11.57422891,New,New,New,0
Bus,54305,Good,3,8,Electric,Automatic,800,76189,2024-02-21,2025-04-21,Second,18130,2,1,19.41521489,Worn Out,Worn Out,Weak,1
Van,44627,Poor,2,4,Petrol,Manual,2500,59745,2023-10-19,2024-10-08,Second,26898,5,0,19.26724364,Worn Out,Worn Out,Good,1
Suv,76781,Poor,5,8,Petrol,Manual,800,70919,2023-04-12,2025-12-12,Third,19564,10,1,11.69225072,Worn Out,Worn Out,Good,1
Car,36238,Poor,4,3,Electric,Manual,1000,61001,2024-02-12,2025-04-09,Third,26906,9,3,17.07211948,Worn Out,Good,New,1
Motorcycle,46806,Poor,2,9,Diesel,Automatic,1500,55707,2023-08-07,2024-11-13,Second,21629,6,3,16.00716986,Good,New,Weak,1
Van,37808,Average,0,3,Petrol,Automatic,1000,115557,2023-12-25,2024-10-26,First,13651,4,2,19.57604581,Good,Good,Weak,1
Van,70553,Average,2,10,Diesel,Manual,1500,127037,2023-10-22,2024-08-14,Third,6055,10,1,17.83017581,Good,Good,Weak,1
Truck,73343,Poor,5,2,Electric,Manual,2000,59857,2023-07-26,2026-01-23,Second,29036,6,2,15.75891889,New,New,New,1
Bus,46215,Average,1,6,Diesel,Automatic,2500,17543,2024-01-25,2024-10-22,Second,21787,8,2,15.69924494,Worn Out,New,New,1
Motorcycle,67261,Poor,2,8,Electric,Manual,1000,42837,2023-11-30,2025-04-28,Second,20925,1,2,12.95565235,Good,New,Good,1
Suv,62166,Good,3,2,Petrol,Automatic,800,138062,2023-06-20,2025-03-07,First,17462,1,1,16.36493068,Worn Out,New,Weak,1
Van,31488,Good,3,10,Electric,Manual,800,74876,2023-12-26,2024-10-18,First,6123,1,3,16.29241727,Good,Worn Out,New,1
Motorcycle,58894,Good,2,7,Electric,Automatic,800,31551,2024-01-08,2024-11-03,First,7899,5,1,10.76768497,New,Worn Out,New,1
Truck,36051,Good,2,9,Diesel,Automatic,800,29134,2024-02-18,2026-01-21,First,21598,7,0,14.75172259,Worn Out,Worn Out,Good,1
Truck,36248,Good,5,6,Diesel,Manual,1000,130093,2023-12-12,2025-06-12,First,8659,2,3,12.46221071,New,Worn Out,New,1
Motorcycle,71138,Poor,0,3,Electric,Manual,1500,76175,2023-11-03,2024-08-23,Third,9774,6,0,13.06777929,New,New,Weak,1
Suv,50978,Good,0,1,Electric,Automatic,800,3073,2024-01-26,2024-11-01,Second,11122,5,0,11.71089711,New,Good,New,0
Motorcycle,40622,Good,5,10,Electric,Automatic,1000,90079,2023-08-21,2024-06-04,Third,25653,1,1,17.49378873,Worn Out,New,Weak,1
Car,77026,Poor,0,5,Diesel,Manual,2000,25259,2023-05-05,2025-08-21,First,8661,10,3,16.09511449,Good,Worn Out,New,1
Motorcycle,31968,Good,0,1,Diesel,Manual,1000,35299,2023-05-22,2025-03-31,Second,28709,4,2,10.89489096,Worn Out,Good,Weak,1
Van,74433,Average,4,10,Electric,Automatic,1500,145679,2023-04-01,2026-01-18,Second,28275,1,2,19.21368016,New,New,Good,1
Car,45688,Poor,5,9,Electric,Manual,800,9054,2023-10-19,2024-12-08,First,10501,9,1,18.04092205,Good,Worn Out,New,1
Car,78209,Average,0,4,Diesel,Manual,2500,45994,2023-11-24,2025-03-24,First,10483,3,2,14.29670267,New,New,New,0
Van,51487,Good,5,8,Diesel,Manual,2000,29547,2023-08-28,2024-09-05,Third,25768,1,3,15.39548559,New,New,New,1
Car,52126,Good,0,7,Electric,Manual,2000,122153,2023-06-15,2024-09-02,Third,23158,1,3,11.05103022,Good,Worn Out,Weak,1
Car,49535,Good,0,5,Electric,Automatic,1000,31315,2023-05-28,2025-03-08,Third,18888,5,2,18.50074479,New,Good,New,0
Van,61045,Good,0,7,Electric,Manual,800,23865,2023-09-13,2025-08-03,First,20161,2,2,18.2975835,New,New,Weak,1
Motorcycle,60440,Average,4,7,Petrol,Automatic,2000,38684,2023-09-30,2025-02-21,Third,13915,6,1,13.57580582,Good,Good,Weak,1
Motorcycle,73210,Average,0,9,Electric,Automatic,800,121122,2023-07-25,2024-06-20,Third,7325,9,3,15.62458257,Worn Out,Worn Out,Good,1
Bus,66445,Poor,3,5,Diesel,Manual,800,56231,2023-06-05,2024-06-03,Second,26259,9,1,15.6069447,Worn Out,Worn Out,New,1
Van,59388,Good,5,4,Diesel,Manual,2000,50472,2024-01-17,2025-12-02,First,19286,10,1,18.9703131,Good,Worn Out,Good,1
Motorcycle,61888,Good,5,5,Diesel,Manual,2500,86279,2024-02-22,2024-09-24,Third,17761,5,2,19.51040896,New,Good,New,1
Car,45925,Poor,1,9,Electric,Automatic,800,12824,2023-12-03,2025-07-20,Third,6647,8,3,14.20390981,Worn Out,New,New,1
Bus,44497,Poor,5,9,Electric,Automatic,1000,71520,2023-05-12,2024-07-28,Third,11149,4,2,14.78070381,New,Good,New,1
Bus,63165,Average,0,10,Electric,Automatic,800,91664,2023-05-13,2024-05-11,Third,20884,8,2,16.76875122,New,New,Weak,1
Truck,45708,Average,3,4,Electric,Manual,2500,34131,2023-05-24,2024-10-01,Second,5804,1,0,11.94027019,Good,New,New,1
Motorcycle,77500,Good,0,5,Petrol,Automatic,2000,88644,2023-04-05,2025-11-18,Second,12252,1,1,19.07624331,New,New,New,0
Van,62600,Average,4,5,Petrol,Manual,1500,146131,2023-04-30,2026-02-28,Third,12901,6,0,16.89300595,New,Good,Weak,1
Motorcycle,44832,Average,3,9,Electric,Automatic,1000,55962,2023-04-17,2025-05-20,First,28590,9,2,15.07604498,Good,Worn Out,New,1
Van,57006,Poor,4,8,Petrol,Manual,2000,10882,2023-08-22,2025-02-14,Second,24455,7,3,10.48024961,New,Worn Out,Good,1
Van,56550,Good,2,6,Diesel,Manual,800,133705,2024-02-03,2025-07-18,First,25644,1,3,13.00780606,New,Worn Out,Weak,1
Suv,70380,Good,4,1,Electric,Automatic,1500,134871,2023-11-25,2024-10-28,First,22213,4,1,18.28136077,Good,New,Weak,1
Car,50109,Average,2,10,Petrol,Manual,800,36035,2023-11-05,2025-09-04,First,29527,4,3,14.00890952,New,Good,Good,0
Car,61753,Poor,4,9,Diesel,Automatic,1500,68697,2024-01-21,2025-03-10,First,21323,7,3,14.4008156,Good,New,Weak,1
Van,61024,Good,0,1,Electric,Automatic,2000,56062,2023-07-02,2026-03-22,Third,29048,3,0,10.83736297,Worn Out,New,Good,0
Suv,42048,Average,4,6,Petrol,Manual,800,60898,2023-04-15,2024-05-07,Third,5543,9,1,14.67771771,Good,New,New,1
Truck,77013,Poor,4,1,Petrol,Manual,1500,18438,2024-02-22,2024-06-21,Third,13677,6,0,18.22658984,Good,New,New,1
Motorcycle,34841,Average,2,1,Electric,Manual,1000,146581,2023-05-22,2025-05-07,First,8800,7,0,15.13607714,Good,New,New,0
Suv,65788,Average,3,9,Diesel,Manual,2000,28715,2023-10-21,2024-12-28,First,5927,8,1,19.14749224,Good,New,Weak,1
Bus,61817,Poor,4,2,Diesel,Automatic,1500,2514,2023-04-08,2024-05-07,First,23456,1,0,11.85309816,Worn Out,Worn Out,Good,1
Car,40859,Poor,0,9,Petrol,Manual,800,74852,2023-07-09,2025-02-06,First,11364,5,1,15.28847173,Good,Good,Good,0
Truck,32437,Good,5,8,Petrol,Manual,800,149899,2023-05-10,2025-06-25,Third,22516,9,0,18.50856269,Worn Out,New,New,1
Bus,43461,Good,1,3,Petrol,Manual,1000,100130,2023-07-02,2025-06-21,First,24209,5,3,11.1353155,Worn Out,Good,Good,0
Car,54933,Poor,5,3,Electric,Automatic,800,126785,2024-02-12,2025-01-16,Second,26832,3,1,15.43661305,New,Good,New,1
Van,68652,Average,5,8,Petrol,Automatic,2500,95998,2023-10-06,2026-03-25,Third,23120,10,1,16.33386785,Good,Worn Out,Good,1
Truck,38974,Average,0,4,Diesel,Automatic,1500,30505,2023-06-03,2024-12-01,Third,23470,2,1,11.58273673,New,New,Weak,1
Van,66083,Poor,2,6,Diesel,Automatic,1500,42473,2023-09-03,2025-10-10,Third,9405,3,1,12.04829249,Worn Out,Worn Out,Weak,1
Truck,56494,Poor,4,2,Diesel,Automatic,1000,17969,2023-11-07,2024-05-15,Third,19186,10,3,11.79798789,New,New,Weak,1
Van,63226,Poor,1,3,Petrol,Automatic,1000,95599,2024-01-15,2025-11-06,First,15496,3,3,10.33603947,New,Worn Out,Weak,1
Car,79405,Poor,1,10,Petrol,Manual,2500,49788,2023-05-29,2026-01-25,Second,19143,8,1,10.15352987,Worn Out,New,Good,0
Suv,40971,Good,0,9,Electric,Automatic,1000,95175,2023-11-12,2024-09-03,Second,22486,4,3,14.2536901,Good,Good,New,0
Van,79067,Good,4,3,Electric,Automatic,800,14634,2023-09-07,2024-12-12,First,17944,3,3,12.78337855,Worn Out,Worn Out,New,1
Suv,40331,Good,0,1,Petrol,Manual,1000,34537,2023-06-09,2026-02-04,First,11912,6,1,19.50256841,New,Good,Good,0
Suv,39585,Good,2,9,Diesel,Manual,1500,116506,2023-06-28,2024-06-30,First,29445,5,0,14.90901955,Good,Good,New,0
Car,40411,Good,5,9,Petrol,Manual,1500,7201,2023-08-22,2024-08-13,Third,14922,2,1,19.56727018,Good,New,Weak,1
Suv,73400,Poor,1,4,Electric,Manual,800,143722,2023-09-20,2025-05-15,First,22268,6,0,17.26720465,New,Worn Out,Weak,1
Van,35346,Poor,3,1,Diesel,Manual,800,15327,2023-08-06,2024-07-22,Third,9379,9,2,12.94298876,Good,Good,New,1
Car,45695,Poor,5,9,Diesel,Automatic,1000,53660,2023-07-10,2024-10-30,First,23380,8,1,18.77187052,Worn Out,Worn Out,Weak,1
Bus,71090,Poor,0,5,Petrol,Automatic,800,112579,2023-09-14,2026-01-10,Second,27922,9,2,16.921094,Good,Good,Good,1
Suv,65221,Poor,5,1,Diesel,Automatic,1000,123366,2023-10-10,2024-11-27,Second,7419,10,1,13.89977218,Good,Worn Out,Weak,1
Van,63277,Average,0,5,Petrol,Manual,1000,113834,2023-10-16,2024-09-25,Second,12392,8,0,11.61964473,Worn Out,New,Weak,1
Car,57753,Average,5,2,Electric,Automatic,800,69622,2023-04-03,2025-05-14,Second,25525,8,3,13.35529027,Worn Out,Good,Weak,1
Motorcycle,48894,Poor,5,5,Petrol,Manual,2000,114101,2023-08-21,2024-08-30,Third,8276,7,1,13.37841235,New,Worn Out,New,1
Bus,76193,Poor,3,9,Petrol,Automatic,800,98733,2023-08-22,2026-01-14,First,10490,4,2,12.96469802,Worn Out,New,Weak,1
Truck,30845,Poor,2,1,Petrol,Automatic,2500,58024,2023-04-11,2025-09-04,First,7713,7,3,15.99682466,New,Good,Weak,1
Motorcycle,40760,Good,2,8,Petrol,Automatic,2000,98842,2024-01-20,2025-12-22,Second,22769,9,3,12.09881671,Good,Worn Out,Weak,1
Suv,55600,Average,2,5,Diesel,Automatic,1500,42721,2024-01-13,2024-08-09,Second,11879,7,0,17.59173126,Worn Out,Good,Good,0
Suv,46380,Average,0,3,Electric,Automatic,2000,145079,2023-12-07,2025-03-01,Third,25066,2,1,14.33661455,New,Good,Weak,1
Bus,51248,Good,1,6,Petrol,Manual,2500,118666,2024-02-15,2026-01-13,Second,28672,2,0,14.85946698,Good,Good,Good,0
Suv,45427,Average,1,9,Petrol,Automatic,1000,8602,2024-02-12,2026-01-23,Second,7245,9,2,15.66278813,Worn Out,New,Weak,1
Truck,68744,Average,5,7,Petrol,Manual,2500,120218,2023-10-15,2026-03-15,First,11252,10,3,17.44544976,Worn Out,Good,New,1
Van,34001,Average,3,6,Electric,Manual,2000,139702,2023-09-11,2025-07-12,Second,6262,8,2,12.26119383,Worn Out,New,Weak,1
Car,43023,Poor,3,6,Diesel,Automatic,2000,46685,2023-11-21,2025-04-14,First,9185,2,3,10.657794,New,Worn Out,Weak,1
Bus,46572,Poor,1,10,Petrol,Manual,2000,99401,2023-10-31,2024-12-07,Third,11942,9,2,15.34112654,Worn Out,Worn Out,New,1
Motorcycle,63544,Average,4,1,Petrol,Manual,800,123039,2024-01-24,2025-01-07,First,15549,10,3,15.09247957,New,Worn Out,Weak,1
Truck,49183,Poor,1,5,Electric,Manual,2500,35120,2023-06-25,2026-02-26,Second,18476,8,3,13.06811245,New,Good,Weak,1
Motorcycle,68317,Poor,5,5,Diesel,Manual,2500,40997,2024-02-08,2025-11-04,Third,27910,2,2,16.29770399,New,New,Weak,1
Van,36296,Average,4,6,Electric,Automatic,2500,114921,2023-10-12,2024-05-17,First,9500,7,0,19.26615996,Worn Out,New,Weak,1
Suv,34929,Good,0,6,Petrol,Manual,2000,111595,2023-08-28,2025-01-04,Third,13808,6,1,18.33459452,Good,New,Weak,1
Truck,32865,Average,0,8,Petrol,Automatic,2000,85667,2024-02-06,2026-03-22,First,21508,3,2,15.02839675,New,Worn Out,Weak,1
Truck,51881,Average,1,10,Diesel,Manual,2500,53621,2023-10-01,2025-07-11,Third,22537,6,2,10.35284006,Good,Worn Out,Weak,1
Bus,47586,Poor,1,9,Diesel,Automatic,2000,56365,2024-01-13,2026-02-18,First,12479,5,2,12.78029994,Good,Good,Weak,1
Van,39971,Average,4,2,Electric,Manual,800,48752,2023-06-06,2025-12-05,Third,23934,1,2,17.20891973,Worn Out,Good,Weak,1
Suv,54099,Good,1,8,Electric,Automatic,800,5738,2023-10-26,2026-01-21,Third,11994,7,0,13.52863606,New,New,New,0
Motorcycle,37869,Average,3,8,Diesel,Manual,1000,148958,2023-10-30,2025-11-24,Third,19850,2,0,12.74973396,Worn Out,Worn Out,Weak,1
Car,62328,Poor,1,10,Electric,Manual,1500,94775,2023-09-11,2024-05-13,Third,12794,4,1,19.49306721,Good,Worn Out,Good,1
Suv,59174,Average,3,10,Diesel,Manual,1000,25358,2023-07-27,2025-04-30,First,10093,10,2,19.54663499,New,New,New,1
Van,37109,Poor,2,2,Petrol,Automatic,1500,8367,2023-09-13,2024-05-09,Third,29963,1,2,11.88097642,Worn Out,New,Weak,1
Truck,64605,Good,0,7,Electric,Manual,2500,117210,2023-12-24,2024-11-11,First,28903,9,3,15.36555823,Good,Good,New,1
Suv,32618,Average,0,8,Electric,Automatic,1000,134211,2023-05-07,2024-07-25,First,6861,7,1,13.11660508,Good,Good,New,0
Car,39780,Poor,4,10,Petrol,Manual,2500,42050,2024-01-17,2025-08-06,Second,17754,5,0,15.97813398,Worn Out,Worn Out,Weak,1
Motorcycle,62234,Average,2,2,Petrol,Manual,1000,126239,2023-10-19,2026-03-18,First,20117,6,3,12.11790146,Good,New,New,0
Suv,39303,Good,3,1,Electric,Manual,1500,78181,2023-08-17,2025-04-20,Second,23905,1,3,13.98283661,Worn Out,Good,New,0
Bus,67670,Good,4,6,Electric,Manual,800,39924,2023-11-23,2025-07-20,First,18733,9,3,15.66001145,Worn Out,New,Good,1
Truck,32357,Good,1,5,Electric,Automatic,2500,14696,2023-06-04,2024-12-16,Second,19164,5,0,13.44818788,New,Worn Out,Weak,1
Car,38494,Poor,2,8,Electric,Automatic,2500,52922,2023-12-22,2026-01-30,Second,10744,3,1,14.10036691,Good,New,Weak,1
Motorcycle,46752,Poor,1,4,Diesel,Manual,1500,35982,2023-11-10,2025-06-05,Second,20305,5,2,18.19760036,Good,New,Weak,1
Bus,47174,Good,2,8,Electric,Manual,2000,120685,2023-06-05,2025-06-12,Second,19102,7,0,12.58881088,Good,New,New,0
Truck,51239,Poor,2,5,Petrol,Automatic,1000,77785,2023-07-13,2024-10-06,Second,11508,8,2,15.25750554,Good,New,Good,1
Car,67696,Average,3,4,Diesel,Automatic,800,23478,2023-09-25,2025-03-02,Second,29728,8,0,12.03439796,New,Good,New,1
Bus,72991,Average,2,4,Electric,Automatic,2000,128427,2023-06-05,2025-07-07,Second,29432,7,3,17.08857072,Good,Good,New,0
Truck,61753,Average,0,9,Petrol,Manual,1000,126401,2023-11-17,2026-03-17,Second,23864,4,0,18.75021249,New,Good,Weak,1
Motorcycle,35037,Poor,1,1,Diesel,Manual,2000,40455,2023-10-13,2025-06-04,Third,25602,10,3,10.91380141,Good,New,Good,1
Bus,78114,Poor,4,2,Diesel,Manual,1000,122659,2023-12-24,2025-07-16,Second,22704,10,0,14.21772739,Good,Good,New,1
Bus,39297,Good,5,5,Electric,Automatic,800,82783,2023-12-10,2025-09-28,Second,22782,10,3,12.96154592,Good,Worn Out,New,1
Suv,60225,Poor,2,10,Electric,Manual,2000,20177,2024-01-12,2024-12-09,Third,15880,4,2,15.11911545,Good,Worn Out,New,1
