OBD_Code,Description,Description_Length,Prefix
P0096,Intake Air Temperature Sensor 2 Circuit Range/Performance Bank 1,64,P0
P0097,Intake Air Temperature Sensor 2 Circuit Low Bank 1,50,P0
P0098,Intake Air Temperature Sensor 2 Circuit High Bank 1,51,P0
P0099,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic Bank 1,67,P0
P009A,Intake Air Temperature/Ambient Air Temperature Correlation,58,P0
P009B,Fuel Pressure Relief Control Circuit/Open,41,P0
P009C,Fuel Pressure Relief Control Circuit Low,40,P0
P009D,Fuel Pressure Relief Control Circuit High,41,P0
P009E,Fuel Pressure Relief Control Performance/Stuck Off,50,P0
P009F,Fuel Pressure Relief Control Stuck On,37,P0
P00A0,Charge Air Cooler Temperature Sensor Circuit Bank 2,51,P0
P00A1,Charge Air Cooler Temperature Sensor Circuit Range/Performance Bank 2,69,P0
P00A2,Charge Air Cooler Temperature Sensor Circuit Low Bank 2,55,P0
P00A3,Charge Air Cooler Temperature Sensor Circuit High Bank 2,56,P0
P00A4,Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic Bank 2,72,P0
P00A5,Intake Air Temperature Sensor 2 Circuit Bank 2,46,P0
P00A6,Intake Air Temperature Sensor 2 Circuit Range/Performance Bank 2,64,P0
P00A7,Intake Air Temperature Sensor 2 Circuit Low Bank 2,50,P0
P00A8,Intake Air Temperature Sensor 2 Circuit High Bank 2,51,P0
P00A9,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic Bank 2,67,P0
P00AA,Intake Air Temperature Sensor 1 Circuit Bank 2,46,P0
P00AB,Intake Air Temperature Sensor 1 Circuit Range/Performance Bank 2,64,P0
P00AC,Intake Air Temperature Sensor 1 Circuit Low Bank 2,50,P0
P00AD,Intake Air Temperature Sensor 1 Circuit High Bank 2,51,P0
P00AE,Intake Air Temperature Sensor 1 Circuit Intermittent Bank 2,59,P0
P00AF,Turbocharger/Supercharger Boost Control A Module Performance,60,P0
P00B0,Turbocharger/Supercharger Boost Control B Module Performance,60,P0
P00B1,Radiator Coolant Temperature Sensor Circuit,43,P0
P00B2,Radiator Coolant Temperature Sensor Circuit Range/Performance,61,P0
P00B3,Radiator Coolant Temperature Sensor Circuit Low,47,P0
P00B4,Radiator Coolant Temperature Sensor Circuit High,48,P0
P00B5,Radiator Coolant Temperature Sensor Circuit Intermittent/Erratic,64,P0
P00B6,Radiator Coolant Temperature/Engine Coolant Temperature Correlation,67,P0
P00B7,Engine Coolant Flow Low/Performance,35,P0
P00B8,MAP - Mass or Volume Air Flow Correlation Bank 2,48,P0
P00B9,Low Pressure Fuel System Pressure - Too Low. Low Ambient Temperature,68,P0
P00BA,Low Fuel Pressure - Forced Limited Power,40,P0
P00BB,Fuel Injector Insufficient Flow - Forced Limited Power,54,P0
P00BC,Mass or Volume Air Flow A Circuit Range/Performance - Air Flow Too Low,70,P0
P00BD,Mass or Volume Air Flow A Circuit Range/Performance - Air Flow Too High,71,P0
P00BE,Mass or Volume Air Flow B Circuit Range/Performance - Air Flow Too Low,70,P0
P00BF,Mass or Volume Air Flow B Circuit Range/Performance - Air Flow Too High,71,P0
P00C0,Turbocharger/Supercharger Bypass Valve B Control Circuit,56,P0
P00C1,Turbocharger/Supercharger Bypass Valve B Control Circuit Low,60,P0
P00C2,Turbocharger/Supercharger Bypass Valve B Control Circuit High,61,P0
P00C3,Turbocharger/Supercharger Bypass Valve B Control Circuit Range/Performance,74,P0
P00C4,Turbocharger/Supercharger Bypass Valve B - Mechanical,53,P0
P00C5,Turbocharger/Supercharger B Turbine Overspeed,45,P0
P00C6,Fuel Rail Pressure Too Low - Engine Cranking Bank 1,51,P0
P00C7,Intake Air Pressure Measurement System - Multiple Sensor Correlation Bank 1,75,P0
P00C8,Fuel Pressure Regulator A Solenoid Supply Voltage Control Circuit/Open,70,P0
P00C9,Fuel Pressure Regulator A Solenoid Supply Voltage Control Circuit Low,69,P0
P00CA,Fuel Pressure Regulator A Solenoid Supply Voltage Control Circuit High,70,P0
P00CB,Fuel Volume Regulator Solenoid Supply Voltage Control Circuit/Open,66,P0
P00CC,Fuel Volume Regulator Solenoid Supply Voltage Control Circuit Low,65,P0
P00CD,Fuel Volume Regulator Solenoid Supply Voltage Control Circuit High,66,P0
P00CE,Intake Air Temperature Measurement System - Multiple Sensor Correlation Bank 1,78,P0
P00CF,Barometric Pressure - Turbocharger/Supercharger Boost Sensor A Correlation,74,P0
P00D0,Barometric Pressure - Turbocharger/Supercharger Boost Sensor B Correlation,74,P0
P00D1,HO2S Heater Control Circuit Range/Performance Bank 1 Sensor 1,61,P0
P00D2,HO2S Heater Control Circuit Range/Performance Bank 1 Sensor 2,61,P0
P00D3,HO2S Heater Control Circuit Range/Performance Bank 2 Sensor 1,61,P0
P00D4,HO2S Heater Control Circuit Range/Performance Bank 2 Sensor 2,61,P0
P00D5,HO2S Sensor Correlation Bank 1 Sensor 1/Bank 1 Sensor 2,55,P0
P00D6,HO2S Sensor Correlation Bank 2 Sensor 1/Bank 2 Sensor 2,55,P0
P00D7,Turbocharger/Supercharger Bypass Valve A Temperature Too High,61,P0
P00D8,Turbocharger/Supercharger Bypass Valve B Temperature Too High,61,P0
P00D9,Ambient Air Temperature Sensor Circuit B,40,P0
P00DA,Ambient Air Temperature Sensor Circuit B Range/Performance,58,P0
P00DB,Ambient Air Temperature Sensor Circuit B Low,44,P0
P00DC,Ambient Air Temperature Sensor Circuit B High,45,P0
P00DD,Ambient Air Temperature Sensor Circuit B Intermittent/Erratic,61,P0
P00DE,Charge Air Cooler Coolant Temperature Sensor A Circuit,54,P0
P00DF,Charge Air Cooler Coolant Temperature Sensor A Circuit Range/Performance,72,P0
P00E0,Charge Air Cooler Coolant Temperature Sensor A Circuit Low,58,P0
P00E1,Charge Air Cooler Coolant Temperature Sensor A Circuit High,59,P0
P00E2,Charge Air Cooler Coolant Temperature Sensor A Intermittent/Erratic,67,P0
P00E3,Exhaust Heat Exchanger Exhaust Bypass Valve A Stuck Open,56,P0
P00E4,Exhaust Heat Exchanger Exhaust Bypass Valve A Stuck Closed,58,P0
P00E5,Intake Air Temperature/Fuel Temperature Correlation,51,P0
P00E6,Intake Air Pressure Measurement System - Multiple Sensor Correlation Bank 2,75,P0
P00E7,Intake Air Temperature Measurement System - Multiple Sensor Correlation Bank 2,78,P0
P00E8,Intake Air Temperature Sensor 3 Circuit Bank 1,46,P0
P00E9,Intake Air Temperature Sensor 3 Circuit Range/Performance Bank 1,64,P0
P00EA,Intake Air Temperature Sensor 3 Circuit Low Bank 1,50,P0
P00EB,Intake Air Temperature Sensor 3 Circuit High Bank 1,51,P0
P00EC,Intake Air Temperature Sensor 3 Circuit Intermittent/Erratic Bank 1,67,P0
P00ED,Intake Air Temperature Sensor 3 Circuit Bank 2,46,P0
P00EE,Intake Air Temperature Sensor 3 Circuit Range/Performance Bank 2,64,P0
P00EF,Intake Air Temperature Sensor 3 Circuit Low Bank 2,50,P0
P00F0,Intake Air Temperature Sensor 3 Circuit High Bank 2,51,P0
P00F1,Intake Air Temperature Sensor 3 Circuit Intermittent/Erratic Bank 2,67,P0
P00F2,Humidity Sensor Circuit/Open,28,P0
P00F3,Humidity Sensor Circuit Range/Performance,41,P0
P00F4,Humidity Sensor Circuit Low,27,P0
P00F5,Humidity Sensor Circuit High,28,P0
P00F6,Humidity Sensor Circuit Intermittent/Erratic,44,P0
P00F7,Barometric Pressure - Turbocharger/Supercharger Inlet Pressure Correlation Bank 2,81,P0
P00F8,Turbocharger Outlet Pressure Sensor A Circuit,45,P0
P00F9,Turbocharger Outlet Pressure Sensor A Range/Performance,55,P0
P00FA,Turbocharger Outlet Pressure Sensor A Circuit Low,49,P0
P00FB,Turbocharger Outlet Pressure Sensor A Circuit High,50,P0
P00FC,Turbocharger Outlet Pressure Sensor A Intermittent/Erratic,58,P0
P00FD,Battery B State of Charge Performance,37,P0
P00FE,EVAP System Tank Vapor Line Restricted/Blocked,46,P0
P00FF,Body Control Module Requested MIL Illumination,46,P0
P0100,Mass or Volume Air Flow Sensor A Circuit,40,P0
P0101,Mass or Volume Air Flow Sensor A Circuit Range/Performance,58,P0
P0102,Mass or Volume Air Flow Sensor A Circuit Low,44,P0
P0103,Mass or Volume Air Flow Sensor A Circuit High,45,P0
P0104,Mass or Volume Air Flow Sensor A Circuit Intermittent,53,P0
P0105,Manifold Absolute Pressure/Barometric Pressure Sensor Circuit,61,P0
P0106,Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance,79,P0
P0107,Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Low,65,P0
P0108,Manifold Absolute Pressure/Barometric Pressure Sensor Circuit High,66,P0
P0109,Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Intermittent,74,P0
P010A,Mass or Volume Air Flow Sensor B Circuit,40,P0
P010B,Mass or Volume Air Flow Sensor B Circuit Range/Performance,58,P0
P010C,Mass or Volume Air Flow Sensor B Circuit Low,44,P0
P010D,Mass or Volume Air Flow Sensor B Circuit High,45,P0
P010E,Mass or Volume Air Flow Sensor B Circuit Intermittent/Erratic,61,P0
P010F,Mass or Volume Air Flow Sensor A/B Correlation,46,P0
P0110,Intake Air Temperature Sensor 1 Circuit Bank 1,46,P0
P0111,Intake Air Temperature Sensor 1 Circuit Range/Performance Bank 1,64,P0
P0112,Intake Air Temperature Sensor 1 Circuit Low Bank 1,50,P0
P0113,Intake Air Temperature Sensor 1 Circuit High Bank 1,51,P0
P0114,Intake Air Temperature Sensor 1 Circuit Intermittent Bank 1,59,P0
P0115,Engine Coolant Temperature Sensor 1 Circuit,43,P0
P0116,Engine Coolant Temperature Sensor 1 Circuit Range/Performance,61,P0
P0117,Engine Coolant Temperature Sensor 1 Circuit Low,47,P0
P0118,Engine Coolant Temperature Sensor 1 Circuit High,48,P0
P0119,Engine Coolant Temperature Sensor 1 Circuit Intermittent/Erratic,64,P0
P011A,Engine Coolant Temperature Sensor 1/2 Correlation,49,P0
P011B,Engine Coolant Temperature/Intake Air Temperature Correlation,61,P0
P011C,Charge Air Cooler Temperature/Intake Air Temperature Correlation Bank 1,71,P0
P011D,Charge Air Cooler Temperature/Intake Air Temperature Correlation Bank 2,71,P0
P011E,Engine Coolant Temperature 1 / Ambient Air Temperature Correlation,66,P0
P011F,Engine Coolant Temperature 2 / Ambient Air Temperature Correlation,66,P0
P0120,Throttle/Pedal Position Sensor/Switch A Circuit,47,P0
P0121,Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance,65,P0
P0122,Throttle/Pedal Position Sensor/Switch A Circuit Low,51,P0
P0123,Throttle/Pedal Position Sensor/Switch A Circuit High,52,P0
P0124,Throttle/Pedal Position Sensor/Switch A Circuit Intermittent,60,P0
P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control,61,P0
P0126,Insufficient Coolant Temperature for Stable Operation,53,P0
P0127,Intake Air Temperature Too High,31,P0
P0128,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature),80,P0
P0129,Barometric Pressure Too Low,27,P0
P012A,Turbocharger/Supercharger Inlet Pressure Sensor A Circuit,57,P0
P012B,Turbocharger/Supercharger Inlet Pressure Sensor A Circuit Range/Performance,75,P0
P012C,Turbocharger/Supercharger Inlet Pressure Sensor A Circuit Low,61,P0
P012D,Turbocharger/Supercharger Inlet Pressure Sensor A Circuit High,62,P0
P012E,Turbocharger/Supercharger Inlet Pressure Sensor A Circuit Intermittent/Erratic,78,P0
P012F,Engine Coolant Temperature / Engine Oil Temperature Correlation,63,P0
P0130,O2 Sensor Circuit Bank 1 Sensor 1,33,P0
P0131,O2 Sensor Circuit Low Voltage Bank 1 Sensor 1,45,P0
P0132,O2 Sensor Circuit High Voltage Bank 1 Sensor 1,46,P0
P0133,O2 Sensor Circuit Slow Response Bank 1 Sensor 1,47,P0
P0134,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 1,54,P0
P0135,O2 Sensor Heater Circuit Bank 1 Sensor 1,40,P0
P0136,O2 Sensor Circuit Bank 1 Sensor 2,33,P0
P0137,O2 Sensor Circuit Low Voltage Bank 1 Sensor 2,45,P0
P0138,O2 Sensor Circuit High Voltage Bank 1 Sensor 2,46,P0
P0139,O2 Sensor Circuit Slow Response Bank 1 Sensor 2,47,P0
P013A,O2 Sensor Slow Response - Rich to Lean Bank 1 Sensor 2,54,P0
P013B,O2 Sensor Slow Response - Lean to Rich Bank 1 Sensor 2,54,P0
P013C,O2 Sensor Slow Response - Rich to Lean Bank 2 Sensor 2,54,P0
P013D,O2 Sensor Slow Response - Lean to Rich Bank 2 Sensor 2,54,P0
P013E,O2 Sensor Delayed Response - Rich to Lean Bank 1 Sensor 2,57,P0
P013F,O2 Sensor Delayed Response - Lean to Rich Bank 1 Sensor 2,57,P0
P0140,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 2,54,P0
P0141,O2 Sensor Heater Circuit Bank 1 Sensor 2,40,P0
P0142,O2 Sensor Circuit Bank 1 Sensor 3,33,P0
P0143,O2 Sensor Circuit Low Voltage Bank 1 Sensor 3,45,P0
P0144,O2 Sensor Circuit High Voltage Bank 1 Sensor 3,46,P0
P0145,O2 Sensor Circuit Slow Response Bank 1 Sensor 3,47,P0
P0146,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 3,54,P0
P0147,O2 Sensor Heater Circuit Bank 1 Sensor 3,40,P0
P0148,Fuel Delivery Error,19,P0
P0149,Fuel Timing Error,17,P0
P014A,O2 Sensor Delayed Response - Rich to Lean Bank 2 Sensor 2,57,P0
P014B,O2 Sensor Delayed Response - Lean to Rich Bank 2 Sensor 2,57,P0
P014C,O2 Sensor Slow Response - Rich to Lean Bank 1 Sensor 1,54,P0
P014D,O2 Sensor Slow Response - Lean to Rich Bank 1 Sensor 1,54,P0
P014E,O2 Sensor Slow Response - Rich to Lean Bank 2 Sensor 1,54,P0
P014F,O2 Sensor Slow Response - Lean to Rich Bank 2 Sensor 1,54,P0
P0150,O2 Sensor Circuit Bank 2 Sensor 1,33,P0
P0151,O2 Sensor Circuit Low Voltage Bank 2 Sensor 1,45,P0
P0152,O2 Sensor Circuit High Voltage Bank 2 Sensor 1,46,P0
P0153,O2 Sensor Circuit Slow Response Bank 2 Sensor 1,47,P0
P0154,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 1,54,P0
P0155,O2 Sensor Heater Circuit Bank 2 Sensor 1,40,P0
P0156,O2 Sensor Circuit Bank 2 Sensor 2,33,P0
P0157,O2 Sensor Circuit Low Voltage Bank 2 Sensor 2,45,P0
P0158,O2 Sensor Circuit High Voltage Bank 2 Sensor 2,46,P0
P0159,O2 Sensor Circuit Slow Response Bank 2 Sensor 2,47,P0
P015A,O2 Sensor Delayed Response - Rich to Lean Bank 1 Sensor 1,57,P0
P015B,O2 Sensor Delayed Response - Lean to Rich Bank 1 Sensor 1,57,P0
P015C,O2 Sensor Delayed Response - Rich to Lean Bank 2 Sensor 1,57,P0
P015D,O2 Sensor Delayed Response - Lean to Rich Bank 2 Sensor 1,57,P0
P015E,Excessive Time to Enter Closed Loop Fuel Timing Control,55,P0
P015F,Excessive Time to Enter Closed Loop Cylinder Balance Control,60,P0
P0160,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 2,54,P0
P0161,O2 Sensor Heater Circuit Bank 2 Sensor 2,40,P0
P0162,O2 Sensor Circuit Bank 2 Sensor 3,33,P0
P0163,O2 Sensor Circuit Low Voltage Bank 2 Sensor 3,45,P0
P0164,O2 Sensor Circuit High Voltage Bank 2 Sensor 3,46,P0
P0165,O2 Sensor Circuit Slow Response Bank 2 Sensor 3,47,P0
P0166,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 3,54,P0
P0167,O2 Sensor Heater Circuit Bank 2 Sensor 3,40,P0
P0168,Fuel Temperature Too High,25,P0
P0169,Incorrect Fuel Composition,26,P0
P016A,Excessive Time To Enter Closed Loop Air/Fuel Ratio Control,58,P0
P016B,Closed Loop Air/Fuel Ratio Control At Limit - System Too Rich,61,P0
P016C,Closed Loop Air/Fuel Ratio Control At Limit - System Too Lean,61,P0
P016D,Excessive Time To Enter Closed Loop Fuel Pressure Control,57,P0
P016E,Closed Loop Fuel Pressure Control At Limit - Pressure Too High,62,P0
P016F,Closed Loop Fuel Pressure Control At Limit - Pressure Too Low,61,P0
P0170,Fuel Trim Bank 1,16,P0
P0171,System Too Lean Bank 1,22,P0
P0172,System Too Rich Bank 1,22,P0
P0173,Fuel Trim Bank 2,16,P0
P0174,System Too Lean Bank 2,22,P0
P0175,System Too Rich Bank 2,22,P0
P0176,Fuel Composition Sensor Circuit,31,P0
P0177,Fuel Composition Sensor Circuit Range/Performance,49,P0
P0178,Fuel Composition Sensor Circuit Low,35,P0
P0179,Fuel Composition Sensor Circuit High,36,P0
P017A,Cylinder Head Temperature Sensor A Circuit,42,P0
P017B,Cylinder Head Temperature Sensor A Range/Performance,52,P0
P017C,Cylinder Head Temperature Sensor A Circuit Low,46,P0
P017D,Cylinder Head Temperature Sensor A Circuit High,47,P0
P017E,Cylinder Head Temperature Sensor A Circuit Intermittent/Erratic,63,P0
P017F,EVAP System Leak Detection Pump Module Air Filter Restricted,60,P0
P0180,Fuel Temperature Sensor A Circuit,33,P0
P0181,Fuel Temperature Sensor A Circuit Range/Performance,51,P0
