record_id,Vehicle_ID,vehicle_model,fuel_type,transmission_type,engine_size,owner_type,vehicle_age,vehicle_age_group,mileage,odometer_reading,average_annual_mileage,vehicle_usage_category,high_mileage_flag,last_service_date,warranty_expiry_date,days_since_last_service,warranty_status,warranty_remaining_days,service_delay_indicator,service_history,maintenance_frequency,maintenance_history,maintenance_history_score,tire_condition,tire_condition_score,tire_wear_risk,brake_condition,brake_condition_score,brake_wear_risk,battery_status,battery_status_score,engine_stress_ratio,engine_stress_level,reported_issues,accident_history,insurance_premium,fuel_efficiency,vehicle_health_score,vehicle_risk_score,maintenance_priority,predicted_failure_risk,need_maintenance
MREC000011,VEH0014,Bus,Electric,Automatic,1000,Third,10,Old (9+ yrs),49494,51817,5181.7,Low,0,2023-11-08,2024-10-31,112,Active,246,0,5,0.5,Average,1,New,2,8.5,New,2,11.3,New,2,5.18,Low,5,1,27415,15.5443715,70.0,38.8,Low,35.3,1
MREC000012,VEH0054,Car,Petrol,Automatic,1000,First,4,Mid-Life (3-5 yrs),71128,35751,8937.8,Low,0,2023-07-03,2025-01-23,240,Active,330,1,6,1.5,Poor,0,Worn Out,0,80.8,New,2,9.1,Weak,0,8.94,Medium,3,1,24050,16.38821978,33.0,51.3,Medium,57.6,1
MREC000013,VEH0028,Bus,Petrol,Automatic,2000,Third,8,Aging (6-8 yrs),61711,118508,14813.5,Medium,1,2024-02-19,2025-09-17,9,Active,567,0,10,1.25,Poor,0,Worn Out,0,94.7,New,2,15.8,Weak,0,7.41,Medium,4,0,11946,13.92594335,29.0,37.2,Low,50.7,1
MREC000014,VEH0060,Car,Petrol,Manual,2500,Third,3,Mid-Life (3-5 yrs),37517,64195,21398.3,High,0,2023-04-11,2025-04-27,323,Active,424,1,3,1.0,Good,2,New,2,10.6,New,2,12.9,Good,1,8.56,Medium,4,1,25766,11.61351056,76.5,40.6,Medium,33.8,1
MREC000015,VEH0040,Car,Diesel,Manual,2500,Second,6,Aging (6-8 yrs),51152,36403,6067.2,Low,0,2023-05-07,2025-05-20,297,Active,447,1,8,1.33,Poor,0,Worn Out,0,80.9,Good,1,47.0,New,2,2.43,Low,5,2,22592,16.33998023,27.5,65.9,High,68.5,1
MREC000016,VEH0116,SUV,Petrol,Manual,1500,Third,1,New (0-2 yrs),61396,80856,80856.0,High,0,2023-09-17,2025-10-03,164,Active,583,0,4,4.0,Poor,0,Good,1,50.9,Worn Out,0,90.7,Weak,0,53.9,High,5,3,10096,10.07271196,10.0,58.8,Medium,71.3,1
MREC000017,VEH0002,Bus,Diesel,Manual,800,First,7,Aging (6-8 yrs),64440,6493,927.6,Low,0,2023-11-24,2024-10-07,96,Active,222,0,7,1.0,Poor,0,Worn Out,0,75.9,Good,1,47.4,New,2,1.16,Low,0,3,28210,13.73612294,47.5,50.6,Medium,51.4,0
MREC000018,VEH0073,Motorcycle,Electric,Automatic,1000,Second,3,Mid-Life (3-5 yrs),37956,143432,47810.7,High,1,2023-09-23,2025-08-11,158,Active,530,0,3,1.0,Average,1,Worn Out,0,98.9,New,2,32.5,New,2,47.81,High,0,3,21658,10.00713008,70.0,40.6,Medium,36.4,0
MREC000019,VEH0004,Bus,Diesel,Automatic,1000,Second,3,Mid-Life (3-5 yrs),44751,7755,2585.0,Low,0,2024-01-23,2026-01-24,36,Active,696,0,10,3.33,Poor,0,Good,1,38.6,Good,1,38.7,New,2,2.58,Low,3,1,29066,16.24308028,45.5,30.1,Low,39.9,1
MREC000020,VEH0023,Bus,Petrol,Automatic,1000,Third,7,Aging (6-8 yrs),41951,104771,14967.3,Medium,0,2023-06-15,2024-09-23,258,Active,208,1,5,0.71,Good,2,New,2,17.4,Worn Out,0,85.0,New,2,14.97,High,1,1,14615,15.67909242,71.0,44.4,Medium,38.2,1
MREC000021,VEH0062,Motorcycle,Diesel,Manual,800,Second,6,Aging (6-8 yrs),45495,88476,14746.0,Medium,0,2023-11-24,2026-02-03,96,Active,706,0,1,0.17,Poor,0,Worn Out,0,89.7,Good,1,54.0,Weak,0,18.43,High,1,2,19785,17.48108031,28.5,50.5,Medium,58.9,1
MREC000022,VEH0092,SUV,Diesel,Automatic,800,First,2,New (0-2 yrs),63280,28975,14487.5,Medium,0,2023-07-14,2024-05-01,229,Active,63,1,6,3.0,Average,1,Worn Out,0,79.7,Good,1,37.1,Good,1,18.11,High,3,0,13081,10.7377029,38.0,40.5,Medium,49.1,1
MREC000023,VEH0075,Motorcycle,Electric,Automatic,1500,First,10,Old (9+ yrs),79936,15052,1505.2,Low,0,2023-04-30,2025-10-12,304,Active,592,1,10,1.0,Average,1,Worn Out,0,77.4,New,2,15.2,Weak,0,1.0,Low,0,3,23551,16.22524022,55.0,68.4,High,59.0,1
MREC000024,VEH0018,Bus,Electric,Automatic,2000,Second,7,Aging (6-8 yrs),74528,108851,15550.1,Medium,0,2023-06-12,2025-08-19,261,Active,538,1,5,0.71,Poor,0,Worn Out,0,93.1,Good,1,52.3,New,2,7.78,Medium,1,1,21870,13.42715042,43.5,54.2,Medium,55.1,0
MREC000025,VEH0039,Car,Diesel,Manual,2500,Second,2,New (0-2 yrs),34005,71423,35711.5,High,0,2023-12-10,2024-06-22,80,Active,115,0,6,3.0,Poor,0,Good,1,49.3,Worn Out,0,89.5,Weak,0,14.28,Medium,0,3,10301,13.85904926,30.0,47.1,Medium,56.3,1
MREC000026,VEH0042,Car,Electric,Automatic,800,Third,7,Aging (6-8 yrs),49957,42971,6138.7,Low,0,2023-10-25,2025-11-20,126,Active,631,0,8,1.14,Good,2,Worn Out,0,82.0,New,2,14.5,Good,1,7.67,Medium,5,2,27358,17.03695635,52.5,46.0,Medium,46.6,1
MREC000027,VEH0078,Motorcycle,Electric,Automatic,2000,Second,9,Old (9+ yrs),36652,88775,9863.9,Medium,0,2023-10-27,2025-02-17,124,Active,355,0,9,1.0,Good,2,Good,1,52.2,New,2,11.8,Weak,0,4.93,Low,5,0,14164,19.18580254,55.0,38.3,Low,41.0,1
MREC000028,VEH0073,Motorcycle,Electric,Manual,1000,Second,2,New (0-2 yrs),49616,77128,38564.0,High,0,2023-05-22,2025-12-08,282,Active,649,1,8,4.0,Good,2,Good,1,50.3,Worn Out,0,81.3,Weak,0,38.56,High,4,1,17547,19.33631707,34.0,50.8,Medium,56.9,1
MREC000029,VEH0119,SUV,Petrol,Manual,2500,Second,8,Aging (6-8 yrs),65381,141901,17737.6,Medium,1,2023-12-22,2024-11-27,68,Active,273,0,3,0.38,Poor,0,New,2,23.6,Good,1,61.2,Good,1,7.1,Medium,1,2,26750,11.27652071,56.0,42.2,Medium,42.9,0
MREC000030,VEH0100,SUV,Diesel,Automatic,2500,Third,7,Aging (6-8 yrs),67982,149954,21422.0,High,1,2023-09-04,2025-12-04,177,Active,645,0,4,0.57,Good,2,New,2,25.0,Good,1,62.2,Weak,0,8.57,Medium,5,2,12774,19.82641608,52.5,49.8,Medium,48.9,1
MREC000031,VEH0084,Motorcycle,Petrol,Manual,1000,First,3,Mid-Life (3-5 yrs),33189,148440,49480.0,High,1,2024-01-09,2025-05-23,50,Active,450,0,4,1.33,Average,1,Good,1,62.2,Worn Out,0,90.9,Weak,0,49.48,High,1,1,16791,15.15413882,36.0,34.4,Low,46.2,1
MREC000032,VEH0111,SUV,Petrol,Manual,800,First,8,Aging (6-8 yrs),33202,12518,1564.8,Low,0,2023-06-29,2024-04-30,244,Active,62,1,2,0.25,Poor,0,Good,1,39.4,Worn Out,0,81.6,New,2,1.96,Low,4,3,24729,11.91281596,29.0,69.7,High,70.2,1
MREC000033,VEH0089,Motorcycle,Petrol,Manual,2500,Third,4,Mid-Life (3-5 yrs),32700,87800,21950.0,High,0,2023-11-19,2025-12-17,101,Active,658,0,9,2.25,Good,2,New,2,14.6,Good,1,45.0,New,2,8.78,Medium,5,0,14156,16.88097768,67.5,23.9,Low,27.3,1
MREC000034,VEH0132,Truck,Electric,Automatic,800,Second,5,Mid-Life (3-5 yrs),37777,127740,25548.0,High,1,2023-08-19,2024-05-22,193,Active,84,1,8,1.6,Poor,0,Worn Out,0,96.3,New,2,30.4,Good,1,31.94,High,4,3,8425,17.21332782,36.5,58.3,Medium,60.4,1
MREC000035,VEH0091,SUV,Diesel,Manual,800,First,9,Old (9+ yrs),66067,51222,5691.3,Low,0,2023-06-07,2024-12-25,266,Active,301,1,10,1.11,Good,2,Good,1,45.9,New,2,11.2,New,2,7.11,Medium,1,1,24978,14.04652945,86.0,43.1,Medium,31.5,0
MREC000036,VEH0127,Truck,Diesel,Automatic,2000,First,8,Aging (6-8 yrs),55518,19685,2460.6,Low,0,2023-12-31,2024-11-19,59,Active,265,0,2,0.25,Poor,0,New,2,3.1,Worn Out,0,82.5,Weak,0,1.23,Low,4,3,16488,16.3676973,24.0,57.7,Medium,65.0,1
MREC000037,VEH0122,Truck,Diesel,Manual,800,Third,10,Old (9+ yrs),48586,37758,3775.8,Low,0,2023-08-31,2025-09-29,181,Active,579,1,10,1.0,Average,1,Good,1,43.7,Good,1,47.2,New,2,4.72,Low,2,2,22244,16.36985783,59.5,52.7,Medium,47.8,1
MREC000038,VEH0143,Truck,Petrol,Automatic,1000,First,9,Old (9+ yrs),43649,17963,1995.9,Low,0,2023-06-29,2025-10-04,244,Active,584,1,4,0.44,Poor,0,New,2,2.8,New,2,15.6,Good,1,2.0,Low,1,3,16252,17.98124935,68.5,57.6,Medium,47.2,0
MREC000039,VEH0145,Truck,Petrol,Manual,1500,First,9,Old (9+ yrs),37573,134071,14896.8,Medium,1,2024-02-11,2026-02-09,17,Active,712,0,3,0.33,Poor,0,Worn Out,0,97.3,New,2,31.2,Good,1,9.93,Medium,1,3,8033,13.50906245,48.5,47.6,Medium,49.2,0
MREC000040,VEH0114,SUV,Petrol,Manual,1000,First,4,Mid-Life (3-5 yrs),66627,130759,32689.8,High,1,2023-10-17,2025-02-07,134,Active,345,0,9,2.25,Average,1,New,2,21.8,Worn Out,0,88.5,Good,1,32.69,High,1,1,28093,12.10655606,53.5,36.3,Low,40.4,1
MREC000041,VEH0128,Truck,Diesel,Manual,2000,Third,3,Mid-Life (3-5 yrs),74757,133394,44464.7,High,1,2024-02-16,2024-06-05,12,Active,98,0,9,3.0,Good,2,New,2,22.2,Worn Out,0,93.4,New,2,22.23,High,3,2,10850,13.3398306,63.0,27.2,Low,31.1,1
MREC000042,VEH0080,Motorcycle,Electric,Manual,2500,Second,9,Old (9+ yrs),64175,10469,1163.2,Low,0,2023-10-15,2024-10-24,136,Active,239,0,2,0.22,Good,2,New,2,1.6,New,2,10.2,Good,1,0.47,Low,5,2,24608,13.18937865,72.5,43.1,Medium,36.9,1
MREC000043,VEH0084,Motorcycle,Petrol,Manual,1000,First,9,Old (9+ yrs),77181,111257,12361.9,Medium,0,2023-11-01,2025-04-21,119,Active,418,0,6,0.67,Poor,0,New,2,18.5,Worn Out,0,94.8,Weak,0,12.36,Medium,4,3,24739,10.89005681,24.0,63.8,Medium,68.7,1
MREC000044,VEH0135,Truck,Electric,Manual,1500,Second,1,New (0-2 yrs),48812,72926,72926.0,High,0,2023-08-20,2024-07-20,192,Active,143,1,8,8.0,Good,2,Good,1,49.6,New,2,18.6,Weak,0,48.62,High,3,2,8804,17.31056142,63.0,37.3,Low,37.2,1
MREC000045,VEH0074,Motorcycle,Electric,Automatic,1000,Third,3,Mid-Life (3-5 yrs),58511,131090,43696.7,High,1,2023-06-26,2025-03-24,247,Active,390,1,7,2.33,Good,2,Worn Out,0,96.8,Good,1,50.8,Weak,0,43.7,High,2,0,22436,10.35389868,44.5,41.2,Medium,46.9,1
MREC000046,VEH0069,Motorcycle,Diesel,Automatic,2500,Second,5,Mid-Life (3-5 yrs),73244,131324,26264.8,High,1,2023-09-27,2024-07-02,154,Active,125,0,6,1.2,Good,2,Good,1,59.4,New,2,21.9,Weak,0,10.51,Medium,5,1,17615,18.15882275,55.0,38.9,Low,41.3,1
MREC000047,VEH0032,Car,Diesel,Manual,800,First,2,New (0-2 yrs),72696,107864,53932.0,High,0,2023-07-03,2025-08-05,240,Active,524,1,6,3.0,Average,1,New,2,17.9,Good,1,47.7,Good,1,67.42,High,2,0,27347,19.53658872,62.0,32.9,Low,34.9,0
MREC000048,VEH0126,Truck,Diesel,Automatic,1500,Second,2,New (0-2 yrs),57809,138481,69240.5,High,1,2023-12-31,2025-09-15,59,Active,565,0,4,2.0,Good,2,New,2,23.1,Worn Out,0,98.5,Good,1,46.16,High,2,3,22534,10.06108464,59.5,35.2,Low,37.3,1
MREC000049,VEH0081,Motorcycle,Petrol,Manual,800,Third,3,Mid-Life (3-5 yrs),47601,79744,26581.3,High,0,2023-11-06,2025-05-06,114,Active,433,0,9,3.0,Good,2,New,2,13.2,Worn Out,0,77.2,New,2,33.23,High,0,0,10185,13.94104147,75.0,20.6,Low,22.4,1
MREC000050,VEH0080,Motorcycle,Electric,Manual,2500,Third,2,New (0-2 yrs),31881,60539,30269.5,High,0,2023-10-26,2025-05-10,125,Active,437,0,4,2.0,Good,2,Good,1,47.5,Good,1,41.3,Good,1,12.11,Medium,4,0,6583,12.018139,54.0,27.1,Low,34.7,1
MREC000051,VEH0074,Motorcycle,Electric,Manual,1000,First,2,New (0-2 yrs),34015,113083,56541.5,High,1,2023-05-30,2024-06-12,274,Active,105,1,10,5.0,Good,2,Good,1,56.3,Good,1,52.8,Weak,0,56.54,High,1,1,10680,19.24628989,58.5,41.6,Medium,41.6,1
MREC000052,VEH0061,Motorcycle,Diesel,Manual,800,Third,9,Old (9+ yrs),37195,88378,9819.8,Medium,0,2023-04-14,2024-09-01,320,Active,186,1,1,0.11,Average,1,New,2,14.6,Good,1,45.1,Weak,0,12.27,Medium,2,0,27995,11.45087195,54.5,53.1,Medium,50.1,1
MREC000053,VEH0170,Van,Electric,Manual,2500,Third,10,Old (9+ yrs),53431,64185,6418.5,Low,0,2023-06-15,2026-02-04,258,Active,707,1,8,0.8,Good,2,Good,1,48.1,Good,1,55.2,New,2,2.57,Low,3,3,29115,17.00122959,65.5,61.3,Medium,50.6,1
MREC000054,VEH0023,Bus,Petrol,Manual,1000,Third,10,Old (9+ yrs),63839,127210,12721.0,Medium,1,2023-11-17,2024-07-30,103,Active,153,0,7,0.7,Average,1,New,2,21.2,Good,1,50.3,New,2,12.72,Medium,1,0,20680,15.67926324,73.5,32.0,Low,29.8,0
MREC000055,VEH0020,Bus,Electric,Manual,2500,First,10,Old (9+ yrs),60009,133665,13366.5,Medium,1,2023-05-15,2024-10-01,289,Active,216,1,10,1.0,Average,1,Good,1,59.7,New,2,31.1,New,2,5.35,Low,4,3,16326,16.34421539,64.0,64.2,Medium,52.9,1
MREC000056,VEH0064,Motorcycle,Diesel,Automatic,1000,Third,9,Old (9+ yrs),79634,128308,14256.4,Medium,1,2023-12-09,2024-11-03,81,Active,249,0,10,1.11,Poor,0,Good,1,58.8,Good,1,63.8,New,2,14.26,Medium,5,3,7036,12.51446605,37.5,56.3,Medium,58.8,1
MREC000057,VEH0085,Motorcycle,Petrol,Automatic,1500,First,3,Mid-Life (3-5 yrs),67066,119681,39893.7,High,1,2023-09-08,2025-04-24,173,Active,421,0,2,0.67,Poor,0,Good,1,57.4,New,2,15.9,New,2,26.6,High,4,0,28981,15.80084495,54.0,32.3,Low,37.8,1
MREC000058,VEH0159,Van,Diesel,Manual,2500,Second,1,New (0-2 yrs),57341,95703,95703.0,High,0,2024-02-23,2024-05-18,5,Active,80,0,10,10.0,Average,1,New,2,15.9,Good,1,59.4,Good,1,38.28,High,1,3,17690,13.41283425,66.0,27.3,Low,30.0,1
MREC000059,VEH0129,Truck,Diesel,Manual,2500,Third,8,Aging (6-8 yrs),58631,122883,15360.4,Medium,1,2023-08-23,2024-08-06,189,Active,160,1,8,1.0,Poor,0,Good,1,58.0,Good,1,49.7,Weak,0,6.14,Medium,5,0,26161,11.89927125,22.5,52.9,Medium,62.7,1
MREC000060,VEH0174,Van,Petrol,Automatic,1000,Third,7,Aging (6-8 yrs),35933,75190,10741.4,Medium,0,2023-09-26,2025-09-02,155,Active,552,0,1,0.14,Poor,0,Worn Out,0,87.4,Worn Out,0,76.6,Weak,0,10.74,Medium,5,0,13868,17.94613409,0.0,56.6,Medium,74.0,1
MREC000061,VEH0178,Van,Petrol,Manual,2000,Second,4,Mid-Life (3-5 yrs),49770,141638,35409.5,High,1,2023-10-11,2026-01-10,140,Active,682,0,8,2.0,Poor,0,New,2,23.6,New,2,27.8,New,2,17.7,High,5,2,22151,15.87249628,60.0,39.4,Low,39.6,1
MREC000062,VEH0074,Motorcycle,Electric,Manual,1000,Second,3,Mid-Life (3-5 yrs),55950,135675,45225.0,High,1,2024-02-22,2024-10-21,6,Active,236,0,10,3.33,Poor,0,Worn Out,0,97.6,Worn Out,0,98.1,Weak,0,45.22,High,3,3,10760,11.37386001,8.0,51.0,Medium,67.4,1
MREC000063,VEH0055,Car,Petrol,Automatic,1500,First,1,New (0-2 yrs),70999,129292,129292.0,High,1,2023-05-31,2025-06-21,273,Active,479,1,3,3.0,Poor,0,Good,1,59.0,New,2,30.6,Weak,0,86.19,High,3,3,15761,16.36594836,43.0,55.3,Medium,56.0,1
MREC000064,VEH0047,Car,Electric,Manual,2000,Second,1,New (0-2 yrs),75317,15487,15487.0,Medium,0,2023-09-05,2025-05-15,176,Active,442,0,1,1.0,Poor,0,Good,1,39.9,New,2,10.8,Good,1,7.74,Medium,4,2,15378,12.7761474,46.5,41.9,Medium,46.5,1
MREC000065,VEH0124,Truck,Diesel,Automatic,1000,Third,6,Aging (6-8 yrs),78018,30682,5113.7,Low,0,2023-04-07,2025-04-01,327,Active,398,1,9,1.5,Poor,0,New,2,5.0,Worn Out,0,79.6,Weak,0,5.11,Low,5,2,27690,13.77292618,20.0,70.7,High,74.4,1
MREC000066,VEH0117,SUV,Petrol,Automatic,2000,First,5,Mid-Life (3-5 yrs),36869,62035,12407.0,Medium,0,2024-01-05,2024-07-04,54,Active,127,0,8,1.6,Poor,0,New,2,10.2,Good,1,41.5,New,2,6.2,Medium,5,0,16065,17.35323406,47.5,29.1,Low,38.5,1
MREC000067,VEH0063,Motorcycle,Diesel,Automatic,1000,First,6,Aging (6-8 yrs),51458,97034,16172.3,Medium,0,2023-07-16,2026-02-12,227,Active,715,1,8,1.33,Poor,0,Worn Out,0,91.1,Worn Out,0,84.0,Weak,0,16.17,High,4,1,25903,18.95259682,4.0,63.9,Medium,76.7,1
MREC000068,VEH0129,Truck,Diesel,Manual,2500,Second,5,Mid-Life (3-5 yrs),61408,127492,25498.4,High,1,2024-02-28,2025-02-06,0,Active,344,0,7,1.4,Poor,0,Worn Out,0,96.2,Good,1,50.3,New,2,10.2,Medium,4,0,24665,13.99514701,31.5,30.6,Low,45.8,1
MREC000069,VEH0124,Truck,Diesel,Manual,1000,Third,4,Mid-Life (3-5 yrs),70448,80546,20136.5,High,0,2023-12-09,2024-11-07,81,Active,253,0,5,1.25,Average,1,Worn Out,0,88.4,Good,1,48.5,Weak,0,20.14,High,5,1,29149,11.10999527,22.5,43.2,Medium,56.9,1
MREC000070,VEH0178,Van,Petrol,Automatic,2000,Second,4,Mid-Life (3-5 yrs),59752,75029,18757.2,Medium,0,2023-12-04,2024-12-21,86,Active,297,0,2,0.5,Poor,0,Good,1,49.9,New,2,9.9,Good,1,9.38,Medium,2,0,8334,15.75358034,54.5,27.3,Low,34.6,1
MREC000071,VEH0052,Car,Petrol,Automatic,800,First,3,Mid-Life (3-5 yrs),48087,101551,33850.3,High,0,2023-10-11,2024-07-22,140,Active,145,0,3,1.0,Good,2,Good,1,54.4,Good,1,55.7,Good,1,42.31,High,5,2,12698,18.15257224,50.0,41.3,Medium,44.8,1
MREC000072,VEH0160,Van,Diesel,Automatic,2500,First,7,Aging (6-8 yrs),68912,62663,8951.9,Low,0,2023-05-14,2024-10-29,290,Active,244,1,8,1.14,Poor,0,Worn Out,0,85.4,Good,1,55.0,New,2,3.58,Low,4,3,17401,15.98611791,31.5,70.6,High,69.8,1
MREC000073,VEH0161,Van,Electric,Manual,800,Second,6,Aging (6-8 yrs),42461,129207,21534.5,High,1,2023-10-20,2025-09-25,131,Active,575,0,4,0.67,Poor,0,Good,1,59.0,Worn Out,0,88.3,New,2,26.92,High,4,1,28891,16.87200043,29.0,48.0,Medium,57.2,1
MREC000074,VEH0140,Truck,Electric,Automatic,2500,Third,3,Mid-Life (3-5 yrs),30742,84805,28268.3,High,0,2023-10-09,2025-11-17,142,Active,628,0,1,0.33,Poor,0,Good,1,51.6,New,2,20.1,New,2,11.31,Medium,3,2,12670,14.4652195,58.0,38.6,Low,40.0,1
MREC000075,VEH0069,Motorcycle,Diesel,Automatic,2500,Second,4,Mid-Life (3-5 yrs),43603,135711,33927.8,High,1,2023-12-29,2024-07-06,61,Active,129,0,7,1.75,Average,1,Good,1,60.1,New,2,27.0,Good,1,13.57,Medium,0,2,15571,15.96006398,72.5,29.2,Low,28.5,0
MREC000076,VEH0156,Van,Diesel,Manual,1500,Second,9,Old (9+ yrs),56422,13808,1534.2,Low,0,2023-07-13,2025-07-20,230,Active,508,1,6,0.67,Good,2,New,2,2.2,New,2,1.7,New,2,1.02,Low,3,0,5691,11.57422891,88.0,34.7,Low,25.6,0
MREC000077,VEH0012,Bus,Electric,Automatic,800,Second,8,Aging (6-8 yrs),54305,76189,9523.6,Medium,0,2024-02-21,2025-04-21,7,Active,418,0,2,0.25,Good,2,Worn Out,0,87.6,Worn Out,0,81.2,Weak,0,11.9,Medium,3,1,18130,19.41521489,28.0,42.4,Medium,54.2,1
MREC000078,VEH0180,Van,Petrol,Manual,2500,Second,4,Mid-Life (3-5 yrs),44627,59745,14936.2,Medium,0,2023-10-19,2024-10-08,132,Active,223,0,5,1.25,Poor,0,Worn Out,0,84.8,Worn Out,0,74.6,Good,1,5.97,Medium,2,0,26898,19.26724364,19.5,43.0,Medium,58.0,1
MREC000079,VEH0112,SUV,Petrol,Manual,800,Third,8,Aging (6-8 yrs),76781,70919,8864.9,Low,0,2023-04-12,2025-12-12,322,Active,653,1,10,1.25,Poor,0,Worn Out,0,86.7,Worn Out,0,80.5,Good,1,11.08,Medium,5,1,19564,11.69225072,7.5,73.1,High,80.9,1
MREC000080,VEH0043,Car,Electric,Manual,1000,Third,3,Mid-Life (3-5 yrs),36238,61001,20333.7,High,0,2024-02-12,2025-04-09,16,Active,406,0,9,3.0,Poor,0,Worn Out,0,85.1,Good,1,54.7,New,2,20.33,High,4,3,26906,17.07211948,31.5,43.5,Medium,53.5,1
MREC000081,VEH0066,Motorcycle,Diesel,Automatic,1500,Second,9,Old (9+ yrs),46806,55707,6189.7,Low,0,2023-08-07,2024-11-13,205,Active,259,1,6,0.67,Poor,0,Good,1,46.7,New,2,20.7,Weak,0,4.13,Low,2,3,21629,16.00716986,47.0,62.2,Medium,58.5,1
MREC000082,VEH0173,Van,Petrol,Automatic,1000,First,3,Mid-Life (3-5 yrs),37808,115557,38519.0,High,1,2023-12-25,2024-10-26,65,Active,241,0,4,1.33,Average,1,Good,1,56.7,Good,1,57.6,Weak,0,38.52,High,0,2,13651,19.57604581,52.5,34.8,Low,39.9,1
MREC000083,VEH0155,Van,Diesel,Manual,1500,Third,10,Old (9+ yrs),70553,127037,12703.7,Medium,1,2023-10-22,2024-08-14,129,Active,168,0,10,1.0,Average,1,Good,1,58.6,Good,1,54.7,Weak,0,8.47,Medium,2,1,6055,17.83017581,44.5,49.0,Medium,51.6,1
MREC000084,VEH0137,Truck,Electric,Manual,2000,Second,2,New (0-2 yrs),73343,59857,29928.5,High,0,2023-07-26,2026-01-23,217,Active,695,1,6,3.0,Poor,0,New,2,9.9,New,2,16.8,New,2,14.96,High,5,2,29036,15.75891889,60.0,41.9,Medium,41.1,1
