OBD_Code,Description,Category,Severity,Fault_Description,Work_Required
P0028,Intake Valve Control Solenoid Circuit Range/Performance Bank 2,Fuel and Air Metering,Medium,Intake Valve Control Solenoid Circuit Range/Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0029,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2,Fuel and Air Metering,Medium,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P002A,B Camshaft Profile Actuator A Control Circuit/Open Bank 1,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit/Open Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P002B,B Camshaft Profile Actuator A Control Circuit Low Bank 1,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit Low Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P002C,B Camshaft Profile Actuator A Control Circuit High Bank 1,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit High Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P002D,B Camshaft Profile Actuator A Control Circuit/Open Bank 2,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit/Open Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P002E,B Camshaft Profile Actuator A Control Circuit Low Bank 2,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit Low Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P002F,B Camshaft Profile Actuator A Control Circuit High Bank 2,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit High Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0030,HO2S Heater Control Circuit Bank 1 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 1 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0031,HO2S Heater Control Circuit Low Bank 1 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 1 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0032,HO2S Heater Control Circuit High Bank 1 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 1 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0033,Turbocharger/Supercharger Bypass Valve A Control Circuit,Fuel and Air Metering,Medium,Turbocharger/Supercharger Bypass Valve A Control Circuit,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0034,Turbocharger/Supercharger Bypass Valve A Control Circuit Low,Fuel and Air Metering,Medium,Turbocharger/Supercharger Bypass Valve A Control Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0035,Turbocharger/Supercharger Bypass Valve A Control Circuit High,Fuel and Air Metering,Medium,Turbocharger/Supercharger Bypass Valve A Control Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0036,HO2S Heater Control Circuit Bank 1 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 1 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0037,HO2S Heater Control Circuit Low Bank 1 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 1 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0038,HO2S Heater Control Circuit High Bank 1 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 1 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0039,Turbocharger/Supercharger Bypass Valve A Control Circuit Range/Performance,Fuel and Air Metering,Medium,Turbocharger/Supercharger Bypass Valve A Control Circuit Range/Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P003A,Turbocharger/Supercharger Boost Control A Position Exceeded Learning Limit,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Position Exceeded Learning Limit,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P003B,Turbocharger/Supercharger Boost Control B Position Exceeded Learning Limit,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Position Exceeded Learning Limit,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P003C,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,Fuel and Air Metering,High,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P003D,A Camshaft Profile Actuator A Control Stuck On Bank 1,Fuel and Air Metering,High,A Camshaft Profile Actuator A Control Stuck On Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P003E,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,Fuel and Air Metering,High,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P003F,A Camshaft Profile Actuator A Control Stuck On Bank 2,Fuel and Air Metering,High,A Camshaft Profile Actuator A Control Stuck On Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0040,O2 Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,Fuel and Air Metering,Medium,O2 Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0041,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,Fuel and Air Metering,Medium,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0042,HO2S Heater Control Circuit Bank 1 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 1 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0043,HO2S Heater Control Circuit Low Bank 1 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 1 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0044,HO2S Heater Control Circuit High Bank 1 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 1 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0045,Turbocharger/Supercharger Boost Control A Circuit/Open,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit/Open,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0046,Turbocharger/Supercharger Boost Control A Circuit Range/Performance,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit Range/Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0047,Turbocharger/Supercharger Boost Control A Circuit Low,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0048,Turbocharger/Supercharger Boost Control A Circuit High,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0049,Turbocharger/Supercharger A Turbine Overspeed,Fuel and Air Metering,High,Turbocharger/Supercharger A Turbine Overspeed,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P004A,Turbocharger/Supercharger Boost Control B Circuit/Open,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit/Open,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P004B,Turbocharger/Supercharger Boost Control B Circuit Range/Performance,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit Range/Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P004C,Turbocharger/Supercharger Boost Control B Circuit Low,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P004D,Turbocharger/Supercharger Boost Control B Circuit High,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P004E,Turbocharger/Supercharger Boost Control A Circuit Intermittent/Erratic,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit Intermittent/Erratic,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P004F,Turbocharger/Supercharger Boost Control B Circuit Intermittent/Erratic,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit Intermittent/Erratic,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0050,HO2S Heater Control Circuit Bank 2 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0051,HO2S Heater Control Circuit Low Bank 2 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0052,HO2S Heater Control Circuit High Bank 2 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0053,HO2S Heater Resistance Bank 1 Sensor 1,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 1 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0054,HO2S Heater Resistance Bank 1 Sensor 2,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 1 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0055,HO2S Heater Resistance Bank 1 Sensor 3,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 1 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0056,HO2S Heater Control Circuit Bank 2 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0057,HO2S Heater Control Circuit Low Bank 2 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0058,HO2S Heater Control Circuit High Bank 2 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0059,HO2S Heater Resistance Bank 2 Sensor 1,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P005A,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,Fuel and Air Metering,High,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P005B,B Camshaft Profile Actuator A Control Stuck On Bank 1,Fuel and Air Metering,High,B Camshaft Profile Actuator A Control Stuck On Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P005C,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,Fuel and Air Metering,High,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P005D,B Camshaft Profile Actuator A Control Stuck On Bank 2,Fuel and Air Metering,High,B Camshaft Profile Actuator A Control Stuck On Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P005E,Turbocharger/Supercharger Boost Control B Supply Voltage Circuit Low,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Supply Voltage Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P005F,Turbocharger/Supercharger Boost Control B Supply Voltage Circuit High,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Supply Voltage Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0060,HO2S Heater Resistance Bank 2 Sensor 2,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0061,HO2S Heater Resistance Bank 2 Sensor 3,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 2 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0062,HO2S Heater Control Circuit Bank 2 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 2 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0063,HO2S Heater Control Circuit Low Bank 2 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 2 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0064,HO2S Heater Control Circuit High Bank 2 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 2 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0065,Air Assisted Injector Control Range/Performance,Fuel and Air Metering,Medium,Air Assisted Injector Control Range/Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0066,Air Assisted Injector Control Circuit Low,Fuel and Air Metering,Medium,Air Assisted Injector Control Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0067,Air Assisted Injector Control Circuit High,Fuel and Air Metering,Medium,Air Assisted Injector Control Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
