OBD_Code,Description,Category,Severity,Fault_Description,Work_Required,Severity_Level,Primary_System
P000C,A Camshaft Position Slow Response Bank 2,Fuel and Air Metering,Medium,A Camshaft Position Slow Response Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P000D,B Camshaft Position Slow Response Bank 2,Fuel and Air Metering,Medium,B Camshaft Position Slow Response Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P000E,Fuel Volume Regulator Control Exceeded Learning Limit,Fuel and Air Metering,Medium,Fuel Volume Regulator Control Exceeded Learning Limit,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P000F,Fuel System Over Pressure Relief Valve Activated,Fuel and Air Metering,High,Fuel System Over Pressure Relief Valve Activated,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P0010,A Camshaft Position Actuator A Control Circuit/Open Bank 1,Fuel and Air Metering,Medium,A Camshaft Position Actuator A Control Circuit/Open Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0011,A Camshaft Position - Timing Over-Advanced or System Performance Bank 1,Fuel and Air Metering,Medium,A Camshaft Position - Timing Over-Advanced or System Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0012,A Camshaft Position - Timing Over-Retarded Bank 1,Fuel and Air Metering,Medium,A Camshaft Position - Timing Over-Retarded Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0013,B Camshaft Position Actuator A Control Circuit/Open Bank 1,Fuel and Air Metering,Medium,B Camshaft Position Actuator A Control Circuit/Open Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0014,B Camshaft Position - Timing Over-Advanced or System Performance Bank 1,Fuel and Air Metering,Medium,B Camshaft Position - Timing Over-Advanced or System Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0015,B Camshaft Position - Timing Over-Retarded Bank 1,Fuel and Air Metering,Medium,B Camshaft Position - Timing Over-Retarded Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0016,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A,Fuel and Air Metering,Medium,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0017,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor B,Fuel and Air Metering,Medium,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor B,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0018,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor A,Fuel and Air Metering,Medium,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor A,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0019,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor B,Fuel and Air Metering,Medium,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor B,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P001A,A Camshaft Profile Actuator A Control Circuit/Open Bank 1,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit/Open Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P001B,A Camshaft Profile Actuator A Control Circuit Low Bank 1,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit Low Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P001C,A Camshaft Profile Actuator A Control Circuit High Bank 1,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit High Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P001D,A Camshaft Profile Actuator A Control Circuit/Open Bank 2,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit/Open Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P001E,A Camshaft Profile Actuator A Control Circuit Low Bank 2,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit Low Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P001F,A Camshaft Profile Actuator A Control Circuit High Bank 2,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit High Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0020,A Camshaft Position Actuator A Control Circuit/Open Bank 2,Fuel and Air Metering,Medium,A Camshaft Position Actuator A Control Circuit/Open Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0021,A Camshaft Position - Timing Over-Advanced or System Performance Bank 2,Fuel and Air Metering,Medium,A Camshaft Position - Timing Over-Advanced or System Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0022,A Camshaft Position - Timing Over-Retarded Bank 2,Fuel and Air Metering,Medium,A Camshaft Position - Timing Over-Retarded Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0023,B Camshaft Position Actuator A Control Circuit/Open Bank 2,Fuel and Air Metering,Medium,B Camshaft Position Actuator A Control Circuit/Open Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0024,B Camshaft Position - Timing Over-Advanced or System Performance Bank 2,Fuel and Air Metering,Medium,B Camshaft Position - Timing Over-Advanced or System Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0025,B Camshaft Position - Timing Over-Retarded Bank 2,Fuel and Air Metering,Medium,B Camshaft Position - Timing Over-Retarded Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0026,Intake Valve Control Solenoid Circuit Range/Performance Bank 1,Fuel and Air Metering,Medium,Intake Valve Control Solenoid Circuit Range/Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0027,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1,Fuel and Air Metering,Medium,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0028,Intake Valve Control Solenoid Circuit Range/Performance Bank 2,Fuel and Air Metering,Medium,Intake Valve Control Solenoid Circuit Range/Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0029,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2,Fuel and Air Metering,Medium,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P002A,B Camshaft Profile Actuator A Control Circuit/Open Bank 1,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit/Open Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P002B,B Camshaft Profile Actuator A Control Circuit Low Bank 1,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit Low Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P002C,B Camshaft Profile Actuator A Control Circuit High Bank 1,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit High Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P002D,B Camshaft Profile Actuator A Control Circuit/Open Bank 2,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit/Open Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P002E,B Camshaft Profile Actuator A Control Circuit Low Bank 2,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit Low Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P002F,B Camshaft Profile Actuator A Control Circuit High Bank 2,Fuel and Air Metering,Medium,B Camshaft Profile Actuator A Control Circuit High Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0030,HO2S Heater Control Circuit Bank 1 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 1 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0031,HO2S Heater Control Circuit Low Bank 1 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 1 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0032,HO2S Heater Control Circuit High Bank 1 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 1 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0033,Turbocharger/Supercharger Bypass Valve A Control Circuit,Fuel and Air Metering,Medium,Turbocharger/Supercharger Bypass Valve A Control Circuit,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0034,Turbocharger/Supercharger Bypass Valve A Control Circuit Low,Fuel and Air Metering,Medium,Turbocharger/Supercharger Bypass Valve A Control Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0035,Turbocharger/Supercharger Bypass Valve A Control Circuit High,Fuel and Air Metering,Medium,Turbocharger/Supercharger Bypass Valve A Control Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0036,HO2S Heater Control Circuit Bank 1 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 1 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0037,HO2S Heater Control Circuit Low Bank 1 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 1 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0038,HO2S Heater Control Circuit High Bank 1 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 1 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0039,Turbocharger/Supercharger Bypass Valve A Control Circuit Range/Performance,Fuel and Air Metering,Medium,Turbocharger/Supercharger Bypass Valve A Control Circuit Range/Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P003A,Turbocharger/Supercharger Boost Control A Position Exceeded Learning Limit,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Position Exceeded Learning Limit,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P003B,Turbocharger/Supercharger Boost Control B Position Exceeded Learning Limit,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Position Exceeded Learning Limit,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P003C,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,Fuel and Air Metering,High,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P003D,A Camshaft Profile Actuator A Control Stuck On Bank 1,Fuel and Air Metering,High,A Camshaft Profile Actuator A Control Stuck On Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P003E,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,Fuel and Air Metering,High,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P003F,A Camshaft Profile Actuator A Control Stuck On Bank 2,Fuel and Air Metering,High,A Camshaft Profile Actuator A Control Stuck On Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P0040,O2 Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,Fuel and Air Metering,Medium,O2 Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0041,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,Fuel and Air Metering,Medium,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0042,HO2S Heater Control Circuit Bank 1 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 1 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0043,HO2S Heater Control Circuit Low Bank 1 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 1 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0044,HO2S Heater Control Circuit High Bank 1 Sensor 3,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 1 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0045,Turbocharger/Supercharger Boost Control A Circuit/Open,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit/Open,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0046,Turbocharger/Supercharger Boost Control A Circuit Range/Performance,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit Range/Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0047,Turbocharger/Supercharger Boost Control A Circuit Low,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0048,Turbocharger/Supercharger Boost Control A Circuit High,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0049,Turbocharger/Supercharger A Turbine Overspeed,Fuel and Air Metering,High,Turbocharger/Supercharger A Turbine Overspeed,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P004A,Turbocharger/Supercharger Boost Control B Circuit/Open,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit/Open,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P004B,Turbocharger/Supercharger Boost Control B Circuit Range/Performance,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit Range/Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P004C,Turbocharger/Supercharger Boost Control B Circuit Low,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P004D,Turbocharger/Supercharger Boost Control B Circuit High,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P004E,Turbocharger/Supercharger Boost Control A Circuit Intermittent/Erratic,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control A Circuit Intermittent/Erratic,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P004F,Turbocharger/Supercharger Boost Control B Circuit Intermittent/Erratic,Fuel and Air Metering,Medium,Turbocharger/Supercharger Boost Control B Circuit Intermittent/Erratic,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0050,HO2S Heater Control Circuit Bank 2 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0051,HO2S Heater Control Circuit Low Bank 2 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0052,HO2S Heater Control Circuit High Bank 2 Sensor 1,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0053,HO2S Heater Resistance Bank 1 Sensor 1,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 1 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",1,Fuel and Air Metering
P0054,HO2S Heater Resistance Bank 1 Sensor 2,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 1 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",1,Fuel and Air Metering
P0055,HO2S Heater Resistance Bank 1 Sensor 3,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 1 Sensor 3,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",1,Fuel and Air Metering
P0056,HO2S Heater Control Circuit Bank 2 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0057,HO2S Heater Control Circuit Low Bank 2 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit Low Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0058,HO2S Heater Control Circuit High Bank 2 Sensor 2,Fuel and Air Metering,Medium,HO2S Heater Control Circuit High Bank 2 Sensor 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0059,HO2S Heater Resistance Bank 2 Sensor 1,Fuel and Air Metering,Low,HO2S Heater Resistance Bank 2 Sensor 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",1,Fuel and Air Metering
P005A,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,Fuel and Air Metering,High,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P005B,B Camshaft Profile Actuator A Control Stuck On Bank 1,Fuel and Air Metering,High,B Camshaft Profile Actuator A Control Stuck On Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P005C,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,Fuel and Air Metering,High,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
P005D,B Camshaft Profile Actuator A Control Stuck On Bank 2,Fuel and Air Metering,High,B Camshaft Profile Actuator A Control Stuck On Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",3,Fuel and Air Metering
